year,month,DOC  [mg L-1]
1908,10,1.36
1908,11,1.45
1908,12,1.45
1909,1,1.74
1909,2,1.93
1909,3,2.02
1909,4,1.64
1909,5,1.45
1909,6,1.55
1909,7,1.45
1909,8,1.64
1909,9,1.55
1909,10,1.55
1909,11,1.74
1909,12,1.83
1910,1,1.93
1910,2,1.93
1910,3,2.02
1910,4,1.74
1910,5,1.74
1910,6,1.64
1910,7,1.64
1910,8,1.55
1910,9,1.55
1910,10,1.64
1910,11,1.74
1910,12,2.12
1911,1,2.79
1911,2,2.02
1911,3,2.02
1911,4,1.83
1911,5,1.55
1911,6,1.55
1911,7,1.45
1911,8,1.45
1911,9,1.55
1911,10,1.55
1911,11,1.45
1911,12,1.55
1912,1,1.64
1912,2,2.12
1912,3,2.31
1912,4,1.93
1912,5,1.64
1912,6,1.45
1912,7,1.55
1912,8,1.26
1912,9,1.74
1912,10,1.64
1912,11,1.74
1912,12,2.02
1913,1,2.41
1913,2,2.41
1913,3,2.12
1913,4,1.83
1913,5,1.74
1913,6,1.45
1913,7,1.45
1913,8,1.36
1913,9,1.17
1913,10,1.45
1913,11,1.64
1913,12,2.02
1914,1,1.93
1914,2,1.93
1914,3,2.31
1914,4,2.88
1914,5,2.02
1914,6,1.74
1914,7,1.74
1914,8,1.64
1914,9,1.45
1914,10,1.55
1914,11,1.93
1914,12,2.22
1915,1,2.88
1915,2,3.65
1915,3,3.17
1915,4,2.6
1915,5,1.83
1915,6,2.12
1915,7,2.02
1915,8,2.02
1915,9,2.12
1915,10,2.12
1915,11,2.69
1915,12,3.36
1916,1,3.65
1916,2,3.27
1916,3,3.27
1916,4,3.27
1916,5,2.41
1916,6,2.12
1916,7,2.02
1916,8,1.93
1916,9,2.31
1916,10,2.31
1916,11,2.5
1916,12,2.5
1917,1,2.41
1917,2,2.12
1917,3,2.31
1917,4,2.41
1917,5,2.02
1917,6,2.31
1917,7,2.6
1917,8,2.6
1917,9,2.98
1917,10,2.79
1917,11,2.88
1917,12,2.22
1918,1,2.5
1918,2,2.6
1918,3,2.22
1918,4,2.12
1918,5,2.41
1918,6,1.93
1918,7,2.22
1918,8,2.6
1918,9,2.31
1918,10,2.98
1918,11,2.69
1918,12,2.41
1919,1,2.5
1919,2,2.31
1919,3,2.5
1919,4,2.12
1919,5,2.02
1919,6,1.45
1919,7,1.55
1919,8,1.45
1919,9,1.45
1919,10,1.36
1919,11,1.45
1919,12,1.83
1920,1,1.93
1920,2,1.93
1920,3,1.74
1920,4,2.31
1920,5,1.74
1920,6,1.64
1920,7,2.41
1920,8,2.12
1920,9,1.64
1920,10,2.02
1920,11,2.02
1920,12,2.12
1921,1,2.22
1921,2,2.22
1921,3,1.64
1921,4,1.55
1921,5,1.64
1921,6,1.74
1921,7,1.74
1921,8,1.74
1921,9,1.83
1921,10,1.83
1921,11,1.93
1921,12,2.02
1922,1,2.02
1922,2,2.31
1922,3,2.5
1922,4,2.5
1922,5,2.41
1922,6,2.12
1922,7,2.22
1922,8,2.69
1922,9,2.31
1922,10,2.12
1922,11,2.12
1922,12,2.12
1923,1,0.97
1923,2,2.22
1923,3,2.98
1923,4,3.27
1923,5,2.22
1923,6,1.93
1923,7,2.12
1923,8,2.22
1923,9,2.02
1923,10,2.41
1923,11,3.17
1923,12,3.07
1924,1,2.69
1924,2,2.69
1924,3,2.31
1924,4,2.12
1924,5,2.5
1924,6,2.88
1924,7,2.12
1924,8,1.93
1924,9,1.74
1924,10,3.17
1924,11,2.79
1924,12,2.6
1925,1,2.41
1925,2,2.5
1925,3,2.22
1925,4,1.64
1925,5,1.83
1925,6,1.45
1925,7,1.74
1925,8,1.83
1925,9,2.02
1925,10,2.02
1925,11,2.02
1925,12,2.12
1926,1,2.69
1926,2,2.6
1926,3,2.31
1926,4,2.22
1926,5,2.69
1926,6,2.5
1926,7,2.41
1926,8,2.02
1926,9,1.93
1926,10,1.74
1926,11,2.22
1926,12,2.22
1927,1,2.02
1927,2,2.5
1927,3,2.5
1927,4,2.41
1927,5,2.22
1927,6,2.12
1927,7,2.41
1927,8,2.31
1927,9,2.79
1927,10,2.5
1927,11,2.5
1927,12,2.98
1928,1,3.07
