year,month,DOC  [mg L-1]
2011,12,5.56
2012,1,5.82
2012,2,3.92
2012,3,4.51
2012,4,4.73
2012,5,9
2012,6,7.34
2012,7,5.51
2012,8,3.42
2012,9,4.33
2012,10,4.67
2012,11,5.55
2012,12,4.32
2013,1,3.52
2013,2,5.36
2013,3,3.09
2013,4,3.34
2013,5,3.47
2013,6,3.87
2013,7,1.04
2013,8,3.58
2013,9,3.43
2013,10,3.63
2013,11,4.58
2013,12,5.24
2014,1,5.56
2014,2,4.67
2014,3,3.19
2014,4,4.35
2014,5,5.5
2014,6,4.46
2014,7,3.43
2014,8,3.5
2014,9,3.96
2014,10,3.63
2014,11,6.31
2014,12,4.56
